,desc,hed,ds,version
30,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))",ds004120,8.0.0
31,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004120,8.0.0
32,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004120,8.0.0
33,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004120,8.0.0
34,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004120,8.0.0
35,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004120,8.0.0
36,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))",ds004120,8.0.0
0,Start of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Onset)",ds004119,8.0.0
1,End of basic guard duty scenario.,"(Def/Experiment/Basic-guard-scenario, Offset)",ds004119,8.0.0
2,Start block of images from Area C.,(Def/Environmental-area/Area-C Onset),ds004119,8.0.0
3,Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)",ds004119,8.0.0
4,Start showing of a valid image,"(Def/Show-image, (Valid), Onset)",ds004119,8.0.0
5,End showing of a valid image,"(Def/Show-image, Offset)",ds004119,8.0.0
6,Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)",ds004119,8.0.0
7,End showing image incorrect access level.,"(Def/Show-image, Offset)",ds004119,8.0.0
8,Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)",ds004119,8.0.0
9,End showing image of expired ID.,"(Def/Show-image, Offset)",ds004119,8.0.0
10,Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)",ds004119,8.0.0
11,End showing image with photo ID mismatch.,"(Def/Show-image, Offset)",ds004119,8.0.0
12,Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)",ds004119,8.0.0
13,End showing image with suspicious DOB.,"(Def/Show-image, Offset)",ds004119,8.0.0
14,Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)",ds004119,8.0.0
15,End showing image with no watermark.,"(Def/Show-image, Offset)",ds004119,8.0.0
16,Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)",ds004119,8.0.0
17,Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)",ds004119,8.0.0
18,Start taking survey,"(Def/Take-survey, Onset)",ds004119,8.0.0
19,End taking survey.,"(Def/Take-survey, Offset)",ds004119,8.0.0
20,Start of EEG system failure.,"(Def/System-failure/EEG, Onset)",ds004119,8.0.0
21,End of EEG system failure.,"(Def/System-failure/EEG, Offset)",ds004119,8.0.0
22,Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)",ds004119,8.0.0
23,End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)",ds004119,8.0.0
24,Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))",ds004119,8.0.0
25,Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))",ds004119,8.0.0
26,Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))",ds004119,8.0.0
27,Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))",ds004119,8.0.0
28,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))",ds004119,8.0.0
0,Particpant pushes the left button.,"Agent-action, Participant-response, (Press, (Push-button, (Left-side-of)))",ds004117,8.0.0
1,Participant pushes the right button,"Agent-action, Participant-response, (Press, (Push-button, (Right-side-of)))",ds004117,8.0.0
2,Display an image of a cross character on the screen.,"Sensory-event, Visual-presentation, (Cross, (Center-of, Computer-screen))",ds004117,8.0.0
3,Display an image of a dash character on the screen.,"Sensory-event, Visual-presentation, (Dash, (Center-of, Computer-screen))",ds004117,8.0.0
4,Display a letter on the screen.,"Sensory-event, Visual-presentation, (Character, (Center-of, Computer-screen))",ds004117,8.0.0
5,Play a beep sound.,"Sensory-event, Auditory-presentation, Beep",ds004117,8.0.0
6,Play a buzz sound,"Sensory-event, Auditory-presentation, Buzz",ds004117,8.0.0
7,This event is part of a bad or incomplete trial. Some of the expected trial events are missing.,"(Invalid, Experimental-trial)",ds004117,8.0.0
8,Feedback that the last participant response was correct.,"(Feedback, Correct-action)",ds004117,8.0.0
9,Feedback that the last participant response was incorrect.,"(Feedback, Incorrect-action)",ds004117,8.0.0
10,Indicates participant should fixate.,"(Task, Fixate)",ds004117,8.0.0
11,The participant correctly indicated that the probe was not a target.,"((Recall, Non-target), Correct-action)",ds004117,8.0.0
12,The participant indicated that the probe was not a target but the probe was a target.,"((Recall, Non-target), Incorrect-action)",ds004117,8.0.0
13,The participant presses a button to indicate ready.,"(Appropriate-action, Label/Indicate-ready)",ds004117,8.0.0
14,The probe letter was not shown in the trial.,"(Cue, Non-target)",ds004117,8.0.0
15,The probe letter was a target to be remembered.,"(Cue, Target)",ds004117,8.0.0
16,Participant correctly indicated that the probe was a target.,"((Recall, Target), Correct-action)",ds004117,8.0.0
17,Participant indicated that the probe was a target but the probe was not a target.,"((Recall, Target), Incorrect-action)",ds004117,8.0.0
18,This probe letter is not a target.,Non-target,ds004117,8.0.0
19,This probe letter is a target.,Target,ds004117,8.0.0
20,Cue to indicate that a probe letter is coming.,"(Cue, Recall)",ds004117,8.0.0
0,Start of left perturbation,"(Def/Left-perturb, Onset)",ds004123,8.0.0
1,End of left perturbation,"(Def/Left-perturb, Offset)",ds004123,8.0.0
2,Start of right perturbation,"(Def/Right-perturb, Onset)",ds004123,8.0.0
3,End of right perturbation,"(Def/Right-perturb, Offset)",ds004123,8.0.0
4,Start driving car forward.,"(Def/Drive-vehicle, (Forward), Onset)",ds004123,8.0.0
5,End driving car forward.,"(Def/Drive-vehicle, Offset)",ds004123,8.0.0
6,Start oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, ((Car, (Less-than, Item-count/13)), (Move, Towards, (Leftward, Lane))), Onset)",ds004123,8.0.0
7,End oncoming traffic with up to 12 vehicles driving south.,"(Def/Driving-scenario/OncomingVehiclesPassing, Offset)",ds004123,8.0.0
8,Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)",ds004123,8.0.0
9,End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)",ds004123,8.0.0
10,Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)",ds004123,8.0.0
11,End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)",ds004123,8.0.0
12,Start pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Left-side-of, Road))), Onset)",ds004123,8.0.0
13,End  pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, Offset)",ds004123,8.0.0
14,Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Right-side-of, Road))), Onset)",ds004123,8.0.0
15,Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, Offset)",ds004123,8.0.0
16,Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)",ds004123,8.0.0
17,End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)",ds004123,8.0.0
18,Start  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, ((Navigational-object, Label/Lane-Blocking-object, Item-count/24)), Onset)",ds004123,8.0.0
19,End  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, Offset)",ds004123,8.0.0
20,Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)",ds004123,8.0.0
21,End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)",ds004123,8.0.0
22,Start of a trial,"(Def/Trial-marker, Onset)",ds004123,8.0.0
23,End of a trial,"(Def/Trial-marker, Offset)",ds004123,8.0.0
24,All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)",ds004123,8.0.0
25,Tile complexity 1 high perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile1), Onset)",ds004123,8.0.0
26,Tile complexity 2 high perturbation rate and low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile2), Onset)",ds004123,8.0.0
27,Tile complexity 3 low perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile3), Onset)",ds004123,8.0.0
28,Tile complexity 4 low perturbation rate and high low complexity.,"(Def/Tile-change,  (Condition-Variable/Low-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile4), Onset)",ds004123,8.0.0
29,Scenario is a straight road," (Paved-terrain, Label/Straight_road)",ds004123,8.0.0
30,Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))",ds004123,8.0.0
31,Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))",ds004123,8.0.0
32,Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))",ds004123,8.0.0
33,Driver starts correcting lane position.,"(Def/Course-correction, Onset)",ds004123,8.0.0
34,Driver has completed the lane position correction.,"(Def/Course-correction, Offset)",ds004123,8.0.0
35,Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))",ds004123,8.0.0
36,Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))",ds004123,8.0.0
37,Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))",ds004123,8.0.0
38,A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))",ds004123,8.0.0
39,Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))",ds004123,8.0.0
40,A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))",ds004123,8.0.0
41,Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))",ds004123,8.0.0
42,A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))",ds004123,8.0.0
43,Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))",ds004123,8.0.0
44,Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))",ds004123,8.0.0
45,Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))",ds004123,8.0.0
46,A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))",ds004123,8.0.0
47,Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))",ds004123,8.0.0
48,A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))",ds004123,8.0.0
49,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))",ds004123,8.0.0
0,Display a face to mark end of pre-stimulus and start of blink-inhibition.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset),(Def/Cross-only, Offset)",ds003645,8.0.0
1,Display a face at the beginning of the recording.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset), (Def/Fixation-task, Onset)",ds003645,8.0.0
2,Display a white circle to mark end of the stimulus and blink inhibition.,"Sensory-event, (Intended-effect, Cue), (Def/Circle-only, Onset), (Def/Face-image, Offset), (Def/Blink-inhibition-task, Offset), (Def/Fixation-task, Offset)",ds003645,8.0.0
3,Display only a white cross to mark start of trial and fixation.,"Sensory-event, (Intended-effect, Cue), (Def/Cross-only, Onset), (Def/Fixation-task, Onset),  (Def/Circle-only, Offset)",ds003645,8.0.0
4,Experiment participant presses a key with left index finger.,"Agent-action, Participant-response, Def/Press-left-finger",ds003645,8.0.0
5,Experiment participant presses a key with right index finger.,"Agent-action, Participant-response, Def/Press-right-finger",ds003645,8.0.0
6,Setup for experiment with pressing key with left index finger means a face with above average symmetry.,"Experiment-structure, (Def/Left-sym-cond, Onset), (Def/Initialize-recording, Onset)",ds003645,8.0.0
7,Setup for experiment with pressing key with right index finger means a face with above average symmetry.,"Experiment-structure, (Def/Right-sym-cond, Onset), (Def/Initialize-recording, Onset)",ds003645,8.0.0
8,Experiment participant presses both keys .,"Agent-action, Indeterminate-action, (Press, Keyboard-key)",ds003645,8.0.0
9,A face that should be recognized by the participants.,Def/Famous-face-cond,ds003645,8.0.0
10,A face that should not be recognized by the participants.,Def/Unfamiliar-face-cond,ds003645,8.0.0
11,A scrambled face image generated by taking face 2D FFT.,Def/Scrambled-face-cond,ds003645,8.0.0
12,Factor level indicating the first display of this face.,Def/First-show-cond,ds003645,8.0.0
13,Factor level indicating this face was the same as previous one.,Def/Immediate-repeat-cond,ds003645,8.0.0
14,Factor level indicating face was seen 5 to 15 trials ago.,Def/Delayed-repeat-cond,ds003645,8.0.0
0,Response of the subject,"Participant-response, (Keyboard-key, Press), Agent-action",ds003061,8.0.0
1,Standard at 500 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/500Hz, Correct, Non-target, (Not-equal-to, Go-signal), Expected",ds003061,8.0.0
2,Ignore - not a real event,Description/Event Irrelevant for Experiment,ds003061,8.0.0
3,Oddball at 1000 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/1000Hz, Wrong, Target, Oddball, Expected, Go-signal",ds003061,8.0.0
4,White noise for 60 ms,"Auditory-presentation, Sensory-event, Correct, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor",ds003061,8.0.0
5,"White noise for 60 ms, followed by response (incorrect distractor)","Auditory-presentation, Sensory-event, Wrong, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor, Participant-response",ds003061,8.0.0
6,"Oddball at 1000 hz for 60 ms, followed by response (correct target)","Auditory-presentation, Sensory-event, Pitch/1000Hz, Correct, Target, Oddball, Expected, Go-signal, Participant-response",ds003061,8.0.0
7,"Standard at 500 hz for 60 ms, followed by response (incorrect)","Auditory-presentation, Sensory-event, Pitch/500Hz, Wrong, Non-target, (Not-equal-to, Go-signal), Participant-response, Expected",ds003061,8.0.0
0,Start advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Onset)",ds004106,8.0.0
1,End advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Offset)",ds004106,8.0.0
2,Start block of images from Area A.,"(Def/Environmental-area/Area-A, Onset)",ds004106,8.0.0
3,Stop block of images from Area A.,"(Def/Environmental-area/Area-A, Offset)",ds004106,8.0.0
4,Start block of images from Area B.,"(Def/Environmental-area/Area-B, Onset)",ds004106,8.0.0
5,Stop block of images from Area B.,"(Def/Environmental-area/Area-B, Offset)",ds004106,8.0.0
6,Start block of images from Area C.,(Def/Environmental-area/Area-C Onset),ds004106,8.0.0
7,Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)",ds004106,8.0.0
8,Start block of images from Area D.,"(Def/Environmental-area/Area-D, Onset)",ds004106,8.0.0
9,Stop block of images from Area D.,"(Def/Environmental-area/Area-D, Offset)",ds004106,8.0.0
10,Start block of images from Area E.,"(Def/Environmental-area/Area-E, Onset)",ds004106,8.0.0
11,Stop block of images from Area E.,"(Def/Environmental-area/Area-E, Offset)",ds004106,8.0.0
12,Start showing of a valid image,"(Def/Show-image, (Valid), Onset)",ds004106,8.0.0
13,End showing of a valid image,"(Def/Show-image, Offset)",ds004106,8.0.0
14,Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)",ds004106,8.0.0
15,End showing image incorrect access level.,"(Def/Show-image, Offset)",ds004106,8.0.0
16,Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)",ds004106,8.0.0
17,End showing image of expired ID.,"(Def/Show-image, Offset)",ds004106,8.0.0
18,Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)",ds004106,8.0.0
19,End showing image with photo ID mismatch.,"(Def/Show-image, Offset)",ds004106,8.0.0
20,Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)",ds004106,8.0.0
21,End showing image with suspicious DOB.,"(Def/Show-image, Offset)",ds004106,8.0.0
22,Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)",ds004106,8.0.0
23,End showing image with no watermark.,"(Def/Show-image, Offset)",ds004106,8.0.0
24,Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)",ds004106,8.0.0
25,Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)",ds004106,8.0.0
26,Start taking survey,"(Def/Take-survey, Onset)",ds004106,8.0.0
27,End taking survey.,"(Def/Take-survey, Offset)",ds004106,8.0.0
28,Start of EEG system failure.,"(Def/System-failure/EEG, Onset)",ds004106,8.0.0
29,End of EEG system failure.,"(Def/System-failure/EEG, Offset)",ds004106,8.0.0
30,Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)",ds004106,8.0.0
31,End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)",ds004106,8.0.0
32,Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))",ds004106,8.0.0
33,Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))",ds004106,8.0.0
34,Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))",ds004106,8.0.0
35,Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))",ds004106,8.0.0
36,A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))",ds004106,8.0.0
