prompt,completion
Start vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, ((Car, (Less-than, Item-count/4)), In-front-of), Onset)"
End vehicle being overtaken from front with up to 3 vehicles that appear in front driving north in lefthand of northbound lanes.,"(Def/Driving-scenario/CarsInFront, Offset)"
Start vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, ((Car, Item-count/2, Behind), (Move, In-front-of)), Onset)"
End vehicle being overtaken from behind with up to 2 vehicles that appear behind the subject and drive past.,"(Def/Driving-scenario/CarsOvertakingFromBehind, Offset)"
Start pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Left-side-of, Road))), Onset)"
End  pedestrians oncoming on the opposite side of road. Up to 4 pedestrians walk north to south along the west side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnFarSide, Offset)"
Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, (((Human-agent, Walk), (Less-than, Item-count/5)), (Move, Towards, (Right-side-of, Road))), Onset)"
Start pedestrians passing on same side of road. Up to 4 pedestrians walk north to south along the east side of the road.,"(Def/Driving-scenario/OncomingPedestriansOnNearSide, Offset)"
Start showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Onset)"
End showing a 45 MPH sign.,"(Def/Show-speed-sign/45, Offset)"
Start  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, ((Navigational-object, Label/Lane-Blocking-object, Item-count/24)), Onset)"
End  construction zone. 24 barrels and cones blocking the lefthand of the northbound lanes. Always visible do not pop up.,"(Def/Driving-scenario/ConstructionZone, Offset)"
Start police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, (Car, Target, Oddball), Onset)"
End police car in driver line of sight.,"(Def/Driving-scenario/PoliceCarVisible, Offset)"
Start of a trial,"(Def/Trial-marker, Onset)"
End of a trial,"(Def/Trial-marker, Offset)"
All at high-perturbation rate with low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile0), Onset)"
Tile complexity 1 high perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile1), Onset)"
Tile complexity 2 high perturbation rate and low visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile2), Onset)"
Tile complexity 3 low perturbation rate and high visual complexity.,"(Def/Tile-change,  (Condition-Variable/High-perturbation-rate, Condition-variable/Low-visual-complexity, Label/Tile3), Onset)"
Tile complexity 4 low perturbation rate and high low complexity.,"(Def/Tile-change,  (Condition-Variable/Low-perturbation-rate, Condition-variable/High-visual-complexity, Label/Tile4), Onset)"
Scenario is a straight road," (Paved-terrain, Label/Straight_road)"
Vehicle moves into the defined lane of travel from either the left or right side of the lane,"Agent-action, Experiment-participant, (Operate, (Vehicle, (Within, Lane)))"
Vehicle moves right of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-right-of, Lane)))"
Vehicle moves left of the defined lane of travel,"Agent-action, Experiment-participant, (Operate, (Vehicle, (To-left-of, Lane)))"
Driver starts correcting lane position.,"(Def/Course-correction, Onset)"
Driver has completed the lane position correction.,"(Def/Course-correction, Offset)"
Vehicle approached within 3 meters of obstacle resulting in near miss.,"Sensory-event, Visual-presentation, Near-miss, (Object, (Close-to, Vehicle))"
Vehicle collided with an environmental entity.,"Sensory-event, Visual-presentation, (Vehicle, (Collide-with, Object))"
Course correction has been detected because the vehicle has a heading error of more than 5.1566 degrees from the forward direction or the driver is steering away from the perturbation with a steering angle of more than 4 degrees.,"(Definition/Course-correction, (Agent-action, Experiment-participant, ((Operate, Label/Drive), (Vehicle, (Towards, Lane)))))"
A sound which is meant to signal the start of a perturbation.,"(Definition/Cue-sound, (Sensory-event, Auditory-presentation, Sound, (Cue, (Away-from, (Center-of, Lane)))))"
Drive car.,"(Definition/Drive-vehicle, (Agent-action, (Human-agent, Experiment-participant), ((Operate, Label/Drive), Car)))"
A driving scenario with other cars or pedestrians in some configuration.,"(Definition/Driving-scenario/#, (Label/#, Environmental-property, Road, Outdoors))"
Perturbation that moves the vehicle to the left via perpendicular force.,"(Definition/Left-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Left-side-of, Lane))))"
A sound which is not meant to cue the start of a perturbation.,"(Definition/Non-cue-sound, (Sensory-event, Auditory-presentation, Sound, (Distractor, Non-informative, Random)))"
Play a sound clip.,"(Definition/Play-sound-clip/#, (Auditory-presentation, Audio-clip, Label/#))"
Participant presses a button,"(Definition/Press-button, (Agent-action, Participant-response, (Experiment-participant, (Press, Push-button))))"
Perturbation that moves the vehicle to the right via perpendicular force.,"(Definition/Right-perturb, (Experiment-control, Sensory-event, Controller-agent, ((Push, (Car)), (Right-side-of, Lane))))"
A mph road sign of specified speed.,"(Definition/Show-speed-sign/#, (Sensory-event, Visual-presentation, ((Navigational-object, Label/Road-sign), Speed/# mph)))"
Data collection for a trial,"(Definition/Trial-marker, (Experiment-structure, Experimental-trial))"
A change of experimental condition with a 2 by 2 design varying visual complexity and perturbation rate.,"(Definition/Tile-change, (Experiment-structure, (Environmental-property, Terrain), (Experimental-stimulus, Temporal-rate)))"
A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
Display a face to mark end of pre-stimulus and start of blink-inhibition.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset),(Def/Cross-only, Offset)"
Display a face at the beginning of the recording.,"Sensory-event, Experimental-stimulus, (Def/Face-image, Onset), (Def/Blink-inhibition-task,Onset), (Def/Fixation-task, Onset)"
Display a white circle to mark end of the stimulus and blink inhibition.,"Sensory-event, (Intended-effect, Cue), (Def/Circle-only, Onset), (Def/Face-image, Offset), (Def/Blink-inhibition-task, Offset), (Def/Fixation-task, Offset)"
Display only a white cross to mark start of trial and fixation.,"Sensory-event, (Intended-effect, Cue), (Def/Cross-only, Onset), (Def/Fixation-task, Onset),  (Def/Circle-only, Offset)"
Experiment participant presses a key with left index finger.,"Agent-action, Participant-response, Def/Press-left-finger"
Experiment participant presses a key with right index finger.,"Agent-action, Participant-response, Def/Press-right-finger"
Setup for experiment with pressing key with left index finger means a face with above average symmetry.,"Experiment-structure, (Def/Left-sym-cond, Onset), (Def/Initialize-recording, Onset)"
Setup for experiment with pressing key with right index finger means a face with above average symmetry.,"Experiment-structure, (Def/Right-sym-cond, Onset), (Def/Initialize-recording, Onset)"
Experiment participant presses both keys .,"Agent-action, Indeterminate-action, (Press, Keyboard-key)"
A face that should be recognized by the participants.,Def/Famous-face-cond
A face that should not be recognized by the participants.,Def/Unfamiliar-face-cond
A scrambled face image generated by taking face 2D FFT.,Def/Scrambled-face-cond
Factor level indicating the first display of this face.,Def/First-show-cond
Factor level indicating this face was the same as previous one.,Def/Immediate-repeat-cond
Factor level indicating face was seen 5 to 15 trials ago.,Def/Delayed-repeat-cond
Response of the subject,"Participant-response, (Keyboard-key, Press), Agent-action"
Standard at 500 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/500Hz, Correct, Non-target, (Not-equal-to, Go-signal), Expected"
Ignore - not a real event,Description/Event Irrelevant for Experiment
Oddball at 1000 hz for 60 ms,"Auditory-presentation, Sensory-event, Pitch/1000Hz, Wrong, Target, Oddball, Expected, Go-signal"
White noise for 60 ms,"Auditory-presentation, Sensory-event, Correct, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor"
"White noise for 60 ms, followed by response (incorrect distractor)","Auditory-presentation, Sensory-event, Wrong, Non-target, Signal-noise, Unexpected, (Not-equal-to, Go-signal), Distractor, Participant-response"
"Oddball at 1000 hz for 60 ms, followed by response (correct target)","Auditory-presentation, Sensory-event, Pitch/1000Hz, Correct, Target, Oddball, Expected, Go-signal, Participant-response"
"Standard at 500 hz for 60 ms, followed by response (incorrect)","Auditory-presentation, Sensory-event, Pitch/500Hz, Wrong, Non-target, (Not-equal-to, Go-signal), Participant-response, Expected"
Start advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Onset)"
End advanced guard duty scenario.,"(Def/Experiment/Advanced-guard-scenario, Offset)"
Start block of images from Area A.,"(Def/Environmental-area/Area-A, Onset)"
Stop block of images from Area A.,"(Def/Environmental-area/Area-A, Offset)"
Start block of images from Area B.,"(Def/Environmental-area/Area-B, Onset)"
Stop block of images from Area B.,"(Def/Environmental-area/Area-B, Offset)"
Start block of images from Area C.,(Def/Environmental-area/Area-C Onset)
Stop block of images from Area C.,"(Def/Environmental-area/Area-C, Offset)"
Start block of images from Area D.,"(Def/Environmental-area/Area-D, Onset)"
Stop block of images from Area D.,"(Def/Environmental-area/Area-D, Offset)"
Start block of images from Area E.,"(Def/Environmental-area/Area-E, Onset)"
Stop block of images from Area E.,"(Def/Environmental-area/Area-E, Offset)"
Start showing of a valid image,"(Def/Show-image, (Valid), Onset)"
End showing of a valid image,"(Def/Show-image, Offset)"
Start showing image incorrect access level.,"(Def/Show-image, (Invalid, Label/No_access_to_level), Onset)"
End showing image incorrect access level.,"(Def/Show-image, Offset)"
Start showing image of expired ID,"(Def/Show-image, (Invalid, Label/Expired_ID), Onset)"
End showing image of expired ID.,"(Def/Show-image, Offset)"
Start showing image with photo ID mismatch.,"(Def/Show-image, (Invalid, Label/Photo_mismatch), Onset)"
End showing image with photo ID mismatch.,"(Def/Show-image, Offset)"
Start showing image with suspicious DOB.,"(Def/Show-image, (Invalid, Label/Suspicious_DOB), Onset)"
End showing image with suspicious DOB.,"(Def/Show-image, Offset)"
Start showing image with no watermark.,"(Def/Show-image, (Invalid, Label/No_watermark), Onset)"
End showing image with no watermark.,"(Def/Show-image, Offset)"
Button press allow access.,"Agent-action, Participant-response, (Press, Push-button), (Allow, Label/Area_access)"
Button press deny access.,"Agent-action, Participant-response, (Press, Push-button), (Deny, Label/Area_access)"
Start taking survey,"(Def/Take-survey, Onset)"
End taking survey.,"(Def/Take-survey, Offset)"
Start of EEG system failure.,"(Def/System-failure/EEG, Onset)"
End of EEG system failure.,"(Def/System-failure/EEG, Offset)"
Start of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Onset)"
End of eye tracking system failure.,"(Def/System-failure/Eye-tracking, Offset)"
Experiment ,"(Definition/Experiment/#,  (Experiment-structure, Task, Label/#))"
Checks should be for authorization to a specified area.,"(Definition/Environmental-area/#, (Experiment-structure,  Condition-variable/Environmental-area-cond, Label/#, Time-block))"
Show an ID image.,"(Definition/Show-image, (Sensory-event, Visual-presentation, (Image, Label/ID-badge)))"
Participant takes a survey,"(Definition/Take-survey, (Agent-action, (Experiment-participant, (Perform, (Label/Take-survey, Touchscreen)))))"
A system failure causes data to be invalid,"(Definition/System-failure/#, (Experiment-control, Label/#, Mishap))"
